"Annotation","mean_group1","sd_group1","mean_group2","sd_group2","p.val","p.adj"
"Acinetobacter",4078.78706763068,3316.55351882361,2893.6013631475,3125.84182964952,0,0
"X.Enterobacteriaceae.",2048.4829938185,2335.24778277518,3658.44550975329,3878.07824134049,1.32609701073207e-281,5.4171062888405e-279
"X.Flavobacteriaceae.",170.057290153085,297.137435393811,989.565614470801,1179.68618143257,2.97126535754811e-255,8.09174599038935e-253
"Chryseobacterium",131.4641085776,246.572740054959,704.054803976108,798.003243390848,4.9842977692456e-145,1.01804281936841e-142
"Sphingomonas",354.887790692882,470.946725616624,1161.4620032978,698.92075610242,9.3531026548685e-122,1.52829697380551e-119
"Microbacterium",366.546723464448,639.839783045246,1404.14103397676,654.029217003718,1.15468782951913e-120,1.57229992786188e-118
"X.Sphingomonadaceae.",261.863709213591,348.080204531401,944.237589121156,535.959135483863,7.11910822519854e-102,8.30901631426744e-100
"X.Microbacteriaceae.",92.5038728980009,181.821202274669,392.379597096822,179.450867747146,3.95933778877068e-37,4.04347371678206e-35
"X.Flavobacteriales.",23.3063618985843,34.367573061249,66.1680805616441,79.0735200864558,2.01711597934355e-24,1.83109306124854e-22
"Niastella",24.9813806179491,54.934782548644,40.5030772039032,39.7251019144047,5.61371164222419e-21,4.58640241169717e-19
"X.Moraxellaceae.",130.280671850596,116.317028102829,99.2107540346334,114.689779493423,5.46013666233231e-20,4.05539241193227e-18
"X.Oxalobacteraceae.",21.8726254966631,49.359435351187,45.1322979096034,57.8237340477916,1.44849768963984e-18,9.86185510363125e-17
"X.Sphingomonadales.",54.8563253335598,76.3492397767901,146.481786873813,84.8610129228859,2.08731058687421e-17,1.31179442267402e-15
"X.Pseudomonadales.",80.0879753277751,67.3763908214499,64.2064776827792,66.8295436652025,4.44299458763798e-12,2.59280469864302e-10
"Lactococcus",7.57473934301543,15.5494474573621,7.62629524570454,10.348148675967,4.18274730553634e-10,2.27820303241546e-08
"Modestobacter",7.15724218263194,15.4687756822679,10.0046417575217,8.38614098218046,6.73663702484224e-09,3.43989528081007e-07
"X.Micrococcaceae.",44.2784567512883,39.5250372637488,69.9644823483486,50.1401241317193,1.71835816725016e-07,8.25822719201989e-06
"X.Clostridiales.",15.4780338378378,22.9143944871931,48.793774263349,48.7046505955342,1.91584526933555e-06,8.69580880581746e-05
"Skermanella",9.81574445679428,12.5260657415662,51.2095590355116,33.0671831038099,1.12670264413651e-05,0.000484482136978698
"Niabella",6.74418797002656,14.0091699660778,13.3968559342986,12.9090837213446,2.7696251542156e-05,0.00113139187549707
"Elizabethkingia",4.5308040351969,12.6581431647217,15.771329341994,17.2855222944165,3.33734669483879e-05,0.00129838678556347
"Microvirga",11.8551459967154,22.9320000314883,63.2260509302815,37.928568739561,6.35611720883825e-05,0.00236043079982766
"Tetranychus",1.38004535358119,2.40923175446725,67.4628007136981,201.135484650004,0.000783136821892973,0.02781838189072
"Tribolium",0.47116148280896,0.729973666207355,12.7634697750527,37.571954183641,0.000919727080772673,0.0313090427079697
"Novosphingobium",13.4585488816423,17.4291861938502,30.5373255005728,15.4121903409618,0.00109563849353341,0.0358054659686719
"X.Enterococcaceae.",72.3817357918591,206.661402316021,6.55127293349624,13.3273993237068,0.00116275923116106,0.0365374727637918
"Enterococcus",163.315528159353,470.195230536213,23.4547811878892,43.2734040737943,0.00134994218778643,0.0408482506452412
