"Annotation","mean_group1","sd_group1","mean_group2","sd_group2","p.val","p.adj"
"Sphingomonas",13.0952950667755,22.6817163957612,395.215638648078,654.003455922532,1.76549455708583e-94,5.19055399783233e-92
"X.Sphingomonadaceae.",28.7494408937254,49.7954923171308,291.307048296537,435.616759313584,1.06818826525859e-93,1.57023674993013e-91
"Lactobacillus",60.8663017186712,54.3343582652958,142.467188795507,170.626287726411,3.43298764065341e-35,3.36432788784034e-33
"Arthrobacter",305.679549861604,301.901085048219,151.602922580045,61.0683899122607,3.22104231209346e-33,2.36746609938869e-31
"Escherichia",1.65572696246586,2.86780322245256,49.8720925183444,43.2739334050404,3.53202530621248e-16,2.07683088005294e-14
"X.Viruses.",55.6433489970226,94.9445189078885,1.43562909703666,2.48658253689173,1.58476294246122e-15,7.76533841805998e-14
"Stenotrophomonas",3.16359833989879,2.74937520375282,57.5585608087193,99.6943517312446,3.8560211348228e-15,1.61952887662558e-13
"Chryseobacterium",3.46197455788317,5.99631582876444,35.8565094403276,50.3876901288994,1.98753325276605e-12,7.30418470391524e-11
"X.Diptera.",31.6372098830393,50.5498710105518,2.51235091981416,4.35151943956052,6.27915717638621e-11,2.05119134428616e-09
"Serratia",20.0485597096454,30.1543205490201,58.7087027660171,60.9721843463219,7.59494351948029e-09,2.2329133947272e-07
"Salmonella",0,0,23.7962782986268,19.5602934686586,4.19192658908333e-08,1.12038765199136e-06
"Citrobacter",2.51223061308204,3.59763461150346,10.6028473371233,9.15003554503228,0.000257540226365481,0.00630973554595429
