"Annotation","mean_group1","sd_group1","mean_group2","sd_group2","p.val","p.adj"
"X.Enterobacteriaceae.",2520.82402430847,2809.36155291709,9719.70245015199,7536.64234023674,0,0
"Pseudomonas",1511.75893845868,1377.81784091297,3572.64876507801,2089.80190334428,0,0
"Pantoea",474.931157069399,498.042370501016,1680.43578465485,1192.53994162641,2.52780103322677e-251,3.2945673466389e-249
"Enterobacter",17.0843083257442,29.5908900323609,596.577099278434,684.83696822273,8.34857903674353e-157,8.1607360084168e-155
"X.Sphingomonadaceae.",461.699614794084,399.843672696484,1087.31985036288,608.037817064415,3.9702330227397e-144,3.10472222378245e-142
"Acidovorax",1152.95831580109,1974.44350755361,2868.0928779442,1381.64082484303,5.51313660904722e-100,3.59272735689577e-98
"Exiguobacterium",76.072506395719,106.803632583798,212.016641311798,257.532445629966,1.31380910406648e-83,7.33856228128562e-82
"X.Pseudomonadaceae.",76.9902455245001,72.8844459949156,312.602115284354,197.991115651169,1.09408966305729e-67,5.34736322819251e-66
"X.Cytophagales.",198.308217352534,239.325094626751,120.747897332695,109.034003122004,3.98166531966241e-45,1.72981237776445e-43
"Arthrobacter",143.095995282821,168.320549727279,220.560814224937,189.982545566616,2.70490329053663e-41,1.05761718659982e-39
"X.Sphingobacteriales.",238.608691212747,245.471010177336,179.941730506634,166.65539018724,7.21986417019061e-33,2.56633353685866e-31
"X.Rhodobacteraceae.",99.1926926459649,133.996551788383,69.3548229706824,40.3290146540539,1.38619990516869e-31,4.51670135767465e-30
"Deinococcus",103.654526067591,125.932957350158,66.2960451432196,57.589445924032,8.65740893562415e-29,2.53661454999729e-27
"X.Sphingomonadales.",123.471909544065,127.985859603315,142.589516258457,49.61281451602,9.08250734014375e-29,2.53661454999729e-27
"Niastella",75.3578527055417,104.194736722827,63.0607882269077,64.6895838061232,1.65031852846498e-26,4.30183029753205e-25
"Hymenobacter",116.103089691147,148.119308584974,75.4649144140206,28.4718592895068,3.57131897752142e-25,8.72741075131798e-24
"X.Oxalobacteraceae.",62.5132837948923,96.2915315767274,101.156312860463,93.2308448953007,3.88630789319176e-22,8.93850815434104e-21
"X.Metazoa.",1.17822816039615,2.04075103671454,62.732462550822,95.9084058606838,7.70264244479939e-19,1.67318510884253e-17
"X.Bacillales.",85.6432577460235,86.0515379441519,155.553144539537,155.616848801486,8.40489885035653e-19,1.7296397107839e-17
"Microvirga",33.8593780600614,42.9250413867391,48.0776477557786,15.5076811391497,2.92770242042882e-12,5.72365823193834e-11
"X.Arthropoda.",2.10730484468739,3.6499590580346,34.0927547443212,52.1758815979109,5.74643549918181e-12,1.06993156199052e-10
"Massilia",46.9840114040963,53.7557600801531,57.1657974474925,16.2410937854272,2.75133306295362e-11,4.8898692164312e-10
"Escherichia",8.06408708593968,8.93746658530095,55.0756514256772,24.5688211425429,2.23344201661499e-09,3.79685142824548e-08
"Elizabethkingia",10.3520503146768,15.7262220957101,20.1254514525597,23.5004855561496,4.04947309423768e-08,6.59726658269556e-07
"Cronobacter",0,0,22.0422771006286,15.145100400635,7.72076917284658e-08,1.20752829863321e-06
"Agrococcus",14.9305595543271,24.3459667847284,6.72557512421257,6.94425714209621,2.082689544966e-07,3.13204466185272e-06
"Dyadobacter",23.6513299035899,35.0218826383367,20.486858419878,17.8010619720713,6.03436600973078e-07,8.73865596223977e-06
"Rubellimicrobium",35.0665914338847,38.9079563534734,30.810449190108,19.7299712110547,1.17215415607182e-06,1.63682955365744e-05
"X.Rhizobiaceae.",38.459470371329,12.6080995764354,48.4086606973767,52.1422130417351,1.8120495987045e-06,2.44314273480503e-05
"Niabella",22.560057383475,24.2705088423294,20.0960715233304,21.4709197409744,3.99183652783238e-06,5.20269360794153e-05
"Klebsiella",4.7129126415846,8.16300414685817,25.3473587332209,14.463551438279,1.03249284490539e-05,0.000130227323341293
"X.Nocardioidaceae.",7.38801736546039,12.7964214441786,9.88048688805628,10.6027701842792,1.49167108089805e-05,0.000182263560197231
"X.Methylophilaceae.",23.149171463673,24.1782114278389,9.64966317000039,11.3748311459931,3.58982223800289e-05,0.000425339543957312
"Nocardioides",8.25719587904396,14.3018827905525,16.9634354192186,15.7300255459095,7.45766906495686e-05,0.000857631942470039
"Alicycliphilus",7.37556695640587,12.7748567031211,16.8581840542882,12.1324540673982,0.000214319615688224,0.00239425627811701
"Dysgonomonas",0,0,9.44245963179924,14.4480214135624,0.000421445538597259,0.00445365420517644
"Novosphingobium",30.7786692928209,27.6330884149191,30.1564681514548,12.8762771973794,0.000419574976844249,0.00445365420517644
"Runella",6.08424959508502,10.5382294246176,8.85157346654787,8.37219939975142,0.000470470359732026,0.00484089238566374
"X.Gemmatimonadetes.",0,0,7.92827859432433,11.4711613614281,0.0014761079759586,0.0147989286820464
"Agrobacterium",4.74382559886519,1.91907378615521,12.0372096797436,18.4988423551538,0.0046799987221354,0.0457469875088735
