"Annotation","mean_group1","sd_group1","mean_group2","sd_group2","p.val","p.adj"
"X.Enterobacteriaceae.",522.864818075965,564.019005707426,4364.00511285742,4176.2585602144,0,0
"Pseudomonas",1184.08374694091,1066.78548853356,1015.51820806297,1585.17951060694,0,0
"X.Proteobacteria.",220.780191652588,381.984527667448,374.395173693251,426.174657490843,3.03628554285111e-147,8.33966429103104e-145
"Sphingomonas",10.5642646629379,17.8846098260989,315.427381043863,521.909837359472,6.38944001907512e-76,1.31622464392947e-73
"X.Sphingomonadaceae.",23.0525068171126,39.5133161563787,232.513343949542,347.649185565067,3.37324866780138e-75,5.55911380453668e-73
"X.Gammaproteobacteria.",426.560579010657,399.352585307891,1358.15892947775,44.2518617727384,1.60023071232718e-53,2.19765017826267e-51
"X.Alphaproteobacteria.",50.2169812095176,86.5646100784911,135.159012769766,180.470973036167,6.66618095486364e-53,7.84704729543948e-51
"Acinetobacter",1677.04554231792,1985.01473179981,3682.78456035512,1557.27955986828,7.06309488751251e-39,7.27498773413789e-37
"X.Pseudomonadaceae.",68.9182763229175,72.9162430191216,61.6926200284204,93.0934807074189,1.71379455956188e-28,1.56907413008777e-26
"Arthrobacter",244.064434605626,240.6309825412,120.939626426065,48.7430865206041,9.56516428617389e-27,7.88169537180729e-25
"Rahnella",55.2881976632698,91.925256757642,7.839585135832,13.5785597655228,8.64831597093459e-18,6.47837487277282e-16
"Escherichia",1.42529318023039,2.19847067479202,39.7853486648765,34.5289742607376,2.73649133291266e-13,1.87905738193336e-11
"X.Viruses.",44.667622598989,75.8306409956962,1.1540459316279,1.99663450343361,8.727684432743e-13,5.5320092096771e-11
"X.Sphingomonadales.",12.0245677446652,20.4315451996035,30.5335666646473,34.7368767350273,6.06606225154831e-11,3.570310925197e-09
"Serratia",16.1000274792845,23.9985212850237,46.8358114731255,48.6465546414713,2.92248422321491e-09,1.60541799995272e-07
"X.Diptera.",24.6980479629504,39.3787529567324,2.01106539767455,3.48065751065315,8.38344691852002e-09,4.31747516303781e-07
"X.Podoviridae.",21.9957964901535,37.728013913758,0.871958113737455,1.50843071488178,2.91941858534752e-07,1.34056878455085e-05
"X.Rhodobacteraceae.",20.2228758004434,25.0249077452773,18.2469591675054,17.8519565180179,2.92842695654312e-07,1.34056878455085e-05
"Pectobacterium",0.1461397411905,0.115363418800826,27.7030831417582,46.8731194845302,6.23777438812142e-07,2.70522426095371e-05
"X.Neisseriaceae.",38.8936278231297,67.0218133136864,23.7179240155416,32.5833859638954,3.14275486340631e-06,0.00012948150037234
"X.Micrococcaceae.",41.1369212188794,39.5296264958942,28.9536576720082,22.7596285900923,0.000171311712863645,0.00672194530474493
"Citrobacter",2.04724361213871,2.86991307655587,8.47457095153781,7.29699542747415,0.00066242270983528,0.0248107414956487
"Candidatus_Hamiltonella",31.8553531968017,54.7783511228,18.2578270064087,31.1294533470656,0.000763806452331466,0.0273641963791795
