Sample_ID,city,treatment
PHYLLO09,HF,watered
PHYLLO10,DE,watered
PHYLLO11,CA,watered
PHYLLO12,CA,drought
PHYLLO13,CA,watered
PHYLLO14,CA,drought
PHYLLO15,DE,watered
PHYLLO16,DE,drought
PHYLLO17,CA,wet_soil
PHYLLO18,CA,dry_soil
PHYLLO19,DE,mock_wet
PHYLLO20,CA,mock_watered
PHYLLO21,CA,watered
PHYLLO22,CA,drought
PHYLLO23,DE,watered
PHYLLO24,DE,drought
PHYLLO25,DE,drought
PHYLLO26,HF,watered
PHYLLO27,HF,watered
PHYLLO28,HF,drought
PHYLLO29,HF,drought
