"","PHYLLO09","PHYLLO10","PHYLLO11","PHYLLO12","PHYLLO13","PHYLLO14","PHYLLO15","PHYLLO16","PHYLLO21","PHYLLO22","PHYLLO23","PHYLLO24","PHYLLO25","PHYLLO26","PHYLLO27","PHYLLO28","PHYLLO29"
"GDP.4.dehydro.D.rhamnose.reductase..1.1.1.187.","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"X5.amino.6..5.phosphoribosylamino.uracil.reductase..1.1.1.193.","0","0","0","0","1","0","3","0","0","0","3","0","0","0","5","4","0"
"Cinnamyl.alcohol.dehydrogenase..1.1.1.195.","0","0","0","0","1","0","0","0","2","0","3","0","0","0","0","0","0"
"Alcohol.dehydrogenase..NADP......1.1.1.2."," 0"," 1"," 0"," 0"," 4"," 8"," 8","10"," 0"," 0","20"," 6","17"," 6"," 3"," 7"," 3"
"Glucuronolactone.reductase..1.1.1.20.","0","0","0","1","2","0","0","0","2","0","1","0","6","0","0","2","0"
"X1.3.propanediol.dehydrogenase..1.1.1.202.","0","0","0","0","1","0","0","0","0","0","4","2","4","0","0","2","0"
"IMP.dehydrogenase..1.1.1.205."," 0"," 0"," 0"," 0","27"," 3","15","23","23","12","79"," 9","54","78","26","60","11"
"X....neomenthol.dehydrogenase..1.1.1.208.","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0"
"Aldehyde.reductase..1.1.1.21.","0","1","0","0","2","0","2","3","0","2","1","0","6","0","2","3","0"
"Gluconate.2.dehydrogenase..1.1.1.215.","0","0","0","0","4","7","3","2","8","1","8","2","7","0","0","0","0"
"Morphine.6.dehydrogenase..1.1.1.218.","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Dihydrokaempferol.4.reductase..1.1.1.219.","1","0","0","0","1","0","0","0","0","0","4","0","1","8","1","0","0"
"UDP.glucose.6.dehydrogenase..1.1.1.22."," 0"," 0"," 0"," 0","14"," 5"," 6"," 7","15"," 7","44"," 9","44","35","35","46"," 0"
"Histidinol.dehydrogenase..1.1.1.23."," 0"," 0"," 0"," 1","18"," 0"," 0"," 0","10"," 6","56"," 0","52","26","11","44"," 0"
"Tropinone.reductase.II..1.1.1.236.","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Quinate.dehydrogenase..1.1.1.24.","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"Carveol.dehydrogenase..1.1.1.243.","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"Methanol.dehydrogenase..1.1.1.244.","0","0","0","0","1","0","0","0","0","0","7","1","4","7","0","7","0"
"Shikimate.dehydrogenase..1.1.1.25."," 0"," 0"," 0"," 0"," 5"," 0"," 5"," 5"," 7"," 9","22"," 3","12"," 3","10","11"," 0"
"D.arabinitol.2.dehydrogenase..1.1.1.250.","0","1","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0"
"Galactitol.1.phosphate.5.dehydrogenase..1.1.1.251.","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","0","0"
"Mannitol.dehydrogenase..1.1.1.255.","0","1","0","0","0","0","0","0","0","0","0","0","4","2","0","3","0"
"Glyoxylate.reductase..1.1.1.26.","0","0","0","0","0","1","0","0","0","0","9","3","8","6","1","7","0"
"sn.glycerol.1.phosphate.dehydrogenase..1.1.1.261.","0","0","0","0","0","0","0","0","0","0","0","0","3","3","1","7","0"
"X4.hydroxythreonine.4.phosphate.dehydrogenase..1.1.1.262."," 1"," 2"," 0"," 0","22"," 3"," 7","10","11"," 2","49","11","33","23"," 9","28"," 0"
"L.idonate.5.dehydrogenase..NAD.P.......1.1.1.264.","0","0","0","0","0","0","0","0","2","0","4","0","1","3","2","1","0"
"X1.deoxy.D.xylulose.5.phosphate.reductoisomerase..1.1.1.267."," 0"," 2"," 0"," 0"," 8"," 0"," 5"," 9"," 8"," 8","43"," 5","32","24","19","24"," 2"
"X2..S..hydroxypropyl.CoM.dehydrogenase..1.1.1.269.","0","0","0","0","1","0","0","0","0","0","0","1","2","0","0","1","0"
"L.lactate.dehydrogenase..1.1.1.27."," 2"," 0"," 0"," 0"," 1"," 0"," 9"," 3"," 0"," 3"," 5"," 2"," 5"," 5"," 2","11"," 0"
"GDP.L.fucose.synthase..1.1.1.271."," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0","10"," 0","13"," 4"," 6","25"," 2"
"D.2.hydroxyacid.dehydrogenase..NADP......1.1.1.272.","0","0","0","0","1","0","0","1","1","0","0","0","3","0","0","1","0"
"X2.5.didehydrogluconate.reductase..2.dehydro.D.gluconate.forming...1.1.1.274."," 0"," 0"," 0"," 2"," 7"," 6","10"," 3","12"," 0","25"," 0","21","16","16","20"," 1"
