"","PHYLLO09","PHYLLO10","PHYLLO11","PHYLLO12","PHYLLO13","PHYLLO14","PHYLLO15","PHYLLO16","PHYLLO21","PHYLLO22","PHYLLO23","PHYLLO24","PHYLLO25","PHYLLO26","PHYLLO27","PHYLLO28","PHYLLO29"
"positive.regulation.of.transcription.from.RNA.polymerase.II.promoter.by.galactose..GO.0000435.","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0"
"endonucleolytic.cleavage.in.ITS1.to.separate.SSU.rRNA.from.5.8S.rRNA.and.LSU.rRNA.from.tricistronic.rRNA.transcript..SSU.rRNA..5.8S.rRNA..LSU.rRNA...GO.0000447.","0","0","0","0","7","1","0","2","2","0","6","0","3","1","1","1","3"
"maturation.of.SSU.rRNA.from.tricistronic.rRNA.transcript..SSU.rRNA..5.8S.rRNA..LSU.rRNA...GO.0000462.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"maturation.of.LSU.rRNA.from.tricistronic.rRNA.transcript..SSU.rRNA..5.8S.rRNA..LSU.rRNA...GO.0000463.","0","0","0","0","0","1","0","1","0","0","1","0","1","0","1","1","0"
"maturation.of.5.8S.rRNA.from.tricistronic.rRNA.transcript..SSU.rRNA..5.8S.rRNA..LSU.rRNA...GO.0000466.","0","0","0","0","0","1","0","1","0","0","1","0","1","0","1","1","0"
"exonucleolytic.trimming.to.generate.mature.3..end.of.5.8S.rRNA.from.tricistronic.rRNA.transcript..SSU.rRNA..5.8S.rRNA..LSU.rRNA...GO.0000467.","0","0","0","3","4","1","2","1","3","5","7","1","1","0","0","0","2"
"endonucleolytic.cleavage.to.generate.mature.5..end.of.SSU.rRNA.from..SSU.rRNA..5.8S.rRNA..LSU.rRNA...GO.0000472.","0","0","0","0","7","1","0","2","1","0","6","0","3","1","0","1","3"
"endonucleolytic.cleavage.in.5..ETS.of.tricistronic.rRNA.transcript..SSU.rRNA..5.8S.rRNA..LSU.rRNA...GO.0000480.","0","0","0","0","7","1","0","2","1","0","6","0","3","1","0","1","3"
"box.H.ACA.snoRNA.3..end.processing..GO.0000495.","0","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0"
"transcription.coupled.nucleotide.excision.repair..DNA.damage.recognition..GO.0000716.","  0","  0","  0","  7"," 39","  8"," 21"," 25"," 25"," 15","154"," 11"," 93"," 99"," 59","148","  5"
"telomere.maintenance..GO.0000723."," 1"," 2"," 0"," 3","16"," 2"," 7","12","11","25","44"," 7","26","42","10","20"," 7"
"double.strand.break.repair.via.homologous.recombination..GO.0000724."," 0"," 0"," 0"," 0","12"," 2"," 3"," 5"," 2"," 4","15"," 0"," 7"," 5"," 1"," 4"," 2"
"double.strand.break.repair.via.break.induced.replication..GO.0000727.","0","0","0","0","3","0","1","1","0","0","1","0","0","0","0","0","1"
"DNA.synthesis.involved.in.DNA.repair..GO.0000731.","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"gene.conversion.at.mating.type.locus..DNA.repair.synthesis..GO.0000734.","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"DNA.catabolic.process..exonucleolytic..GO.0000738.","0","0","0","0","0","0","0","4","0","0","2","0","1","6","5","7","0"
"conjugation..GO.0000746."," 0"," 0"," 0"," 0"," 0","58","10"," 1","13"," 2","31"," 4","17"," 6"," 3","38"," 0"
"conjugation.with.cellular.fusion..GO.0000747.","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0"
"pheromone.dependent.signal.transduction.involved.in.conjugation.with.cellular.fusion..GO.0000750.","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"adaptation.of.signaling.pathway.by.response.to.pheromone.involved.in.conjugation.with.cellular.fusion..GO.0000754.","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0"
"cell.morphogenesis..GO.0000902.","  0","  8","  0","  0"," 39"," 23"," 14"," 19"," 21"," 22","116"," 16"," 79"," 61"," 51"," 89","  9"
"regulation.of.cell.shape.during.vegetative.growth.phase..GO.0000903.","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"cytokinesis..GO.0000910.","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"actomyosin.contractile.ring.contraction..GO.0000916.","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0"
"barrier.septum.assembly..GO.0000917.","  0","  8","  0","  1"," 42"," 28"," 30"," 31"," 27"," 35","162"," 28","119"," 92"," 49","107","  4"
"barrier.septum.site.selection..GO.0000918."," 0"," 0"," 0"," 3"," 8"," 4"," 3"," 2","11"," 2","40"," 1","18"," 7"," 3","30"," 0"
"septin.ring.assembly..GO.0000921.","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"amino.acid.catabolic.process.to.alcohol.via.Ehrlich.pathway..GO.0000947.","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"posttranscriptional.tethering.of.RNA.polymerase.II.gene.DNA.at.nuclear.periphery..GO.0000973.","0","0","0","1","1","0","0","2","0","0","0","0","0","0","0","0","0"
"transcription.initiation.from.bacterial.type.RNA.polymerase.promoter..GO.0001123.","  0","  0","  0","  0"," 27"," 10","  4","  9","  7"," 32","145"," 18"," 73"," 36"," 29"," 79","  0"
"chronological.cell.aging..GO.0001300.","0","0","0","0","1","0","1","0","1","1","0","0","0","0","0","0","1"
"replicative.cell.aging..GO.0001302.","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","1","0"
"invasive.growth.in.response.to.glucose.limitation..GO.0001403.","0","0","0","0","1","0","2","1","0","0","0","0","0","0","0","0","0"
"RNA.methylation..GO.0001510.","0","1","0","0","4","1","0","0","1","1","4","2","0","2","0","2","0"
"selenocysteine.incorporation..GO.0001514."," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 1"," 2"," 3"," 3","11","14","14","11"," 0"
"pseudouridine.synthesis..GO.0001522.","  5"," 26","  0","  0"," 85"," 26"," 43"," 49"," 39"," 43","253"," 51","197","126"," 82","146","  8"
"cilium.or.flagellum.dependent.cell.motility..GO.0001539.","  0","  7","  0","  0"," 54"," 74"," 37"," 26"," 52"," 27","432","127","296","183","122","289","  0"
"oocyte.maturation..GO.0001556.","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"regulation.of.cell.growth..GO.0001558.","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0"
"response.to.hypoxia..GO.0001666.","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"tRNA.3..terminal.CCA.addition..GO.0001680."," 0"," 1"," 0"," 1","12"," 4"," 5"," 7"," 7"," 4","29"," 0","22"," 6"," 9","11"," 0"
"tRNA.5..leader.removal..GO.0001682.","0","0","0","0","1","0","0","0","0","2","1","0","3","0","1","0","0"
"formation.of.translation.preinitiation.complex..GO.0001731."," 0"," 0"," 0"," 2","11"," 0"," 0"," 2","11"," 8","13"," 0"," 6"," 3"," 0"," 1"," 0"
"neuron.migration..GO.0001764.","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"neural.tube.formation..GO.0001841.","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"positive.regulation.of.cell.matrix.adhesion..GO.0001954.","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"startle.response..GO.0001964.","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"brain.renin.angiotensin.system..GO.0002035.","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"pyoverdine.biosynthetic.process..GO.0002049.","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"optic.cup.morphogenesis.involved.in.camera.type.eye.development..GO.0002072.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"tRNA.wobble.base.modification..GO.0002097."," 0"," 5"," 0"," 0","14","10"," 7"," 3"," 9"," 7","23"," 1","17"," 7","11"," 3"," 0"
"tRNA.wobble.uridine.modification..GO.0002098.","  0","  2","  0","  0"," 13"," 12"," 18"," 15"," 18"," 19","103"," 13"," 78"," 41"," 24"," 60","  0"
"tRNA.wobble.adenosine.to.inosine.editing..GO.0002100."," 1"," 3"," 0"," 0"," 5"," 0"," 1"," 5"," 5"," 1","18"," 0","12","10"," 1","13"," 0"
"tRNA.wobble.cytosine.modification..GO.0002101.","0","0","0","0","1","0","2","2","1","1","7","1","3","0","6","3","1"
"inter.male.aggressive.behavior..GO.0002121.","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"tRNA.nucleoside.ribose.methylation..GO.0002128.","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0"
"retinoic.acid.biosynthetic.process..GO.0002138.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"tRNA.wobble.position.uridine.thiolation..GO.0002143.","0","0","0","4","1","0","1","1","2","1","5","0","2","0","3","1","0"
"type.B.pancreatic.cell.development..GO.0003323.","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"amino.acid.transmembrane.transport..GO.0003333."," 0"," 2"," 1"," 0"," 7"," 4"," 4"," 1"," 2"," 2"," 7","15","11"," 2","32"," 5"," 0"
