"","PHYLLO09","PHYLLO10","PHYLLO11","PHYLLO12","PHYLLO13","PHYLLO14","PHYLLO15","PHYLLO16","PHYLLO21","PHYLLO22","PHYLLO23","PHYLLO24","PHYLLO25","PHYLLO26","PHYLLO27","PHYLLO28","PHYLLO29"
"lactate.malate.dehydrogenase..NAD.binding.domain..PF00056."," 0"," 0"," 0"," 0"," 5"," 0"," 6"," 4"," 4"," 5","42"," 0","19","27","16","40"," 0"
"Low.density.lipoprotein.receptor.domain.class.A..PF00057.","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0"
"Low.density.lipoprotein.receptor.repeat.class.B..PF00058.","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"Lectin.C.type.domain..PF00059.","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"Ligand.gated.ion.channel..PF00060.","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0"
"Myosin.head..motor.domain...PF00063."," 0"," 1"," 0"," 3","10"," 5"," 2"," 6","20","15","24"," 1","22"," 6"," 8","12"," 0"
"Neuraminidase..PF00064."," 0"," 0"," 0"," 6"," 0"," 0"," 0"," 0","14"," 0"," 0"," 2"," 0"," 0"," 0"," 0"," 0"
"LNR.domain..PF00066.","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0"
"Cytochrome.P450..PF00067.","  0","  0","  0","  0"," 96","  8","  8"," 17"," 42"," 19","138","  8"," 98"," 68"," 53"," 57","  4"
"Protein.kinase.domain..PF00069.","  0","  0","  0","  0","178"," 30"," 27"," 45","125"," 42","310"," 32","237","198","108","220","  6"
"Pyridine.nucleotide.disulphide.oxidoreductase..PF00070.","  0","  0","  0","  0","207"," 40","161","102","159"," 76","710","116","431","407","244","526"," 30"
"Ras.family..PF00071."," 0"," 0"," 0"," 5","13"," 2"," 0"," 0","10"," 4","14"," 0"," 6"," 2"," 3"," 2"," 0"
"Response.regulator.receiver.domain..PF00072.","   0","  91","   0","   0"," 515"," 152"," 218"," 343"," 378"," 123","1872"," 316","1436","1177"," 602","1473","  30"
"RNase.H..PF00075."," 0"," 0"," 0"," 1","21"," 9"," 7"," 5","10","13","25"," 0","18","14"," 4"," 8"," 0"
"RNA.recognition.motif...a.k.a..RRM..RBD..or.RNP.domain...PF00076."," 2"," 0"," 0"," 3","30","17"," 8"," 3","20","24","51"," 2","19","10"," 7","18"," 4"
"Retroviral.aspartyl.protease..PF00077."," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 1","58"," 0"," 0"," 1"," 2"," 0"," 0"," 0"
"Reverse.transcriptase..RNA.dependent.DNA.polymerase...PF00078.","  0","  0","  0","  0","  0","  0","  0","  0","  0","163","  0","  0","  0","  0","  0","  0","  0"
"Serpin..serine.protease.inhibitor...PF00079.","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","3","0"
"Copper.zinc.superoxide.dismutase..SODC...PF00080."," 1"," 1"," 0"," 0"," 1"," 1"," 1"," 0"," 6"," 1","33"," 3","11","16"," 7"," 7"," 0"
"Iron.manganese.superoxide.dismutases..alpha.hairpin.domain..PF00081."," 0"," 0"," 0"," 0"," 9"," 5"," 7"," 9"," 6"," 1","24"," 0","21","21","11","33"," 4"
"Subtilase.family..PF00082.","  0","  0","  0","  0"," 23","  0"," 12"," 25"," 33","  6","103"," 12"," 63","110"," 56"," 95","  6"
"Sugar..and.other..transporter..PF00083.","  0","  0","  0"," 16","182"," 77"," 78"," 77","124"," 67","479"," 73","324","155","131","188"," 15"
"Sushi.domain..SCR.repeat...PF00084.","0","0","0","0","0","0","0","0","0","3","0","2","0","0","0","0","0"
"Thioredoxin..PF00085."," 0"," 0"," 0"," 8","26"," 2","13","12","13"," 6","87"," 9","35","54","25","50"," 0"
"Trypsin..PF00089."," 1"," 1"," 0"," 4"," 5"," 0"," 5"," 1"," 6"," 3","36","12","10"," 9","15","13"," 1"
"Thrombospondin.type.1.domain..PF00090.","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"Tubulin.FtsZ.family..GTPase.domain..PF00091."," 0"," 0"," 0"," 0","15"," 0","10","17","12","37","77"," 0","31","52","30","38"," 4"
"von.Willebrand.factor.type.A.domain..PF00092."," 0"," 0"," 0"," 0"," 5"," 0"," 0"," 4"," 0"," 0"," 0"," 0","20"," 0"," 0"," 8"," 0"
"von.Willebrand.factor.type.C.domain..PF00093.","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"PF00094","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0"
"Zinc.finger..C2H2.type..PF00096."," 0"," 0"," 1"," 0","10"," 0"," 1"," 3"," 3","15","22"," 1","13","10"," 4"," 3"," 0"
"Zinc.finger..C3HC4.type..RING.finger...PF00097.","0","0","0","0","8","2","3","3","0","0","5","0","8","3","2","0","4"
"Zinc.knuckle..PF00098."," 4"," 0"," 0"," 4","38","34"," 3"," 0","17","31"," 9"," 2","17"," 9"," 4","18"," 1"
"Zona.pellucida.like.domain..PF00100.","1","0","1","0","0","0","0","0","0","3","0","3","0","0","0","0","0"
"Ribulose.bisphosphate.carboxylase..small.chain..PF00101.","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0"
"Protein.tyrosine.phosphatase..PF00102.","1","0","0","0","1","2","0","0","2","5","5","2","2","1","0","3","0"
"Ligand.binding.domain.of.nuclear.hormone.receptor..PF00104.","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0"
"Zinc.finger..C4.type..two.domains...PF00105.","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0"
"short.chain.dehydrogenase..PF00106.","  0","  0","  0","  0","251"," 40","113","197","142"," 46","881","117","590","497","333","659"," 48"
"Zinc.binding.dehydrogenase..PF00107.","  0"," 19","  0","  0","206"," 32"," 81"," 95","161"," 57","558"," 73","338","285","218","358","  4"
"Thiolase..N.terminal.domain..PF00108.","  0","  0","  0","  0"," 91"," 17"," 34"," 51"," 66"," 52","346"," 41","143","188","101","160","  9"
"Beta.ketoacyl.synthase..N.terminal.domain..PF00109.","  0","  0","  0","  0"," 92","  0","  7","  5"," 63"," 30","242"," 11","158","160"," 62","157","  0"
"wnt.family..PF00110.","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"X2Fe.2S.iron.sulfur.cluster.binding.domain..PF00111.","  0","  0","  0","  0"," 56","  0"," 19"," 23"," 49"," 10","164"," 11","112","120"," 59","138","  0"
"Papain.family.cysteine.protease..PF00112.","0","0","0","0","1","0","0","0","0","0","1","0","2","4","0","0","0"
"Enolase..C.terminal.TIM.barrel.domain..PF00113."," 0"," 0"," 0"," 0","21"," 0"," 0","13","17"," 4","89"," 0","39","51","22","72"," 0"
"Pilin..bacterial.filament...PF00114.","0","0","0","1","0","0","1","0","4","0","3","0","2","0","3","4","0"
"Cytochrome.C.and.Quinol.oxidase.polypeptide.I..PF00115.","  0","  0","  0","  0","125"," 15"," 44"," 50","104"," 44","384"," 42","265","185","148","324","  7"
"Cytochrome.C.oxidase.subunit.II..periplasmic.domain..PF00116.","  6","  8","  0","  9"," 37"," 11"," 17"," 19"," 48"," 10","119"," 23","119"," 42"," 40","110","  4"
"Glutamine.amidotransferase.class.I..PF00117.","  0","  0","  0","  0","125"," 24"," 39"," 54"," 54"," 52","348"," 41","261","218","163","275"," 21"
"TCP.1.cpn60.chaperonin.family..PF00118.","  0","  0","  0","  0"," 44","  5"," 15"," 17"," 34"," 21","105","  0"," 62"," 78"," 85","135","  0"
"ATP.synthase.A.chain..PF00119."," 0"," 8"," 0"," 0","18","16"," 5","12","16"," 3","68"," 7","51","36","21","59"," 4"
"Glutamine.synthetase..catalytic.domain..PF00120.","  0","  0","  0","  0"," 60","  0"," 33"," 25"," 25","  1","177"," 26","137","102"," 94","151","  5"
"Triosephosphate.isomerase..PF00121."," 0"," 0"," 1"," 0","13"," 8","13","11","12"," 1","27"," 2","23","25"," 8","18"," 2"
"E1.E2.ATPase..PF00122.","  0","  0","  0"," 24","186"," 26"," 83"," 79","110"," 74","396"," 37","207","174","158","202","  5"
"Photosynthetic.reaction.centre.protein..PF00124."," 1"," 0"," 1"," 7","14"," 6"," 0"," 1","13"," 2"," 8"," 0"," 2"," 1"," 0"," 4"," 0"
"Core.histone.H2A.H2B.H3.H4..PF00125.","0","0","1","3","2","3","0","0","0","2","3","0","2","0","2","0","0"
"Bacterial.regulatory.helix.turn.helix.protein..lysR.family..PF00126.","   0","   0","   0","   0"," 267"," 109","  88","  95"," 172","  63","1016"," 171"," 793"," 359"," 292"," 523","   0"
"Copper.binding.proteins..plastocyanin.azurin.family..PF00127.","0","0","0","0","0","0","0","0","0","0","9","0","3","4","0","9","0"
"Alpha.amylase..catalytic.domain..PF00128.","  0","  0","  0","  0","127","  2"," 52"," 94"," 55","  0","614"," 56","407","533","343","634"," 26"
"Phorbol.esters.diacylglycerol.binding.domain..C1.domain...PF00130.","0","0","0","2","6","3","2","1","4","9","4","0","6","2","1","1","0"
"Bacterial.transferase.hexapeptide..six.repeats...PF00132.","  0","  0","  0","  0"," 75"," 31"," 50"," 59"," 69"," 47","327"," 38","204","180","120","199","  0"
"tRNA.synthetases.class.I..I..L..M.and.V...PF00133.","  0","  0","  0","  0","138"," 13"," 62"," 87"," 95"," 59","567"," 75","350","319","201","419"," 13"
"Cyclin..N.terminal.domain..PF00134."," 0"," 0"," 0"," 3"," 7"," 2"," 1"," 1"," 5"," 3","12"," 0"," 5"," 0"," 4"," 2"," 0"
"Carboxylesterase.family..PF00135."," 0"," 0"," 0"," 0","10"," 4"," 7"," 3"," 8"," 1","51"," 4","46","13"," 3","20"," 0"
